"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank"
"ENSG00000065809","FAM107B",13729.7486063055,1608,13678.6825995311,1592,0.00373325474897527,-0.294058507921305,-16,-0.374405750815745
"ENSG00000066032","CTNNA2",15096.9272487994,1431,15063.1701304371,1402,0.00224103678509062,-0.322524497047685,-29,-0.678610423353538
"ENSG00000066248","NGEF",9567.28434896767,2033,9408.6855138379,2029,0.0168566411212821,-0.0437129265004373,-4,-0.0936014377039363
"ENSG00000066322","ELOVL1",16774.2950395051,1161,16756.0382066971,1130,0.00108956738954411,-0.344490266182146,-31,-0.725411142205506
"ENSG00000066468","FGFR2",17397.1692254448,1055,17341.6960596758,1030,0.00319883162397185,-0.304253320765958,-25,-0.585008985649602
"ENSG00000067057","PFKP",20149.8000558947,725,19540.2096902359,757,0.0311967156608051,0.229842556540975,32,0.74881150163149
"ENSG00000067064","IDI1",17115.9879914749,1097,16814.490884908,1120,0.0179307900923448,-0.0232221445433666,23,0.538208266797634
"ENSG00000067191","CACNB1",12316.0266126811,1799,12152.2711953026,1795,0.0134752931980144,-0.108216514813817,-4,-0.0936014377039363
"ENSG00000067221","STOML1",12750.1888052868,1742,12601.0170417869,1738,0.0118380733083106,-0.139448603359699,-4,-0.0936014377039363
"ENSG00000067225","PKM",27820.6627824666,263,27670.6576627994,246,0.00542108978742731,-0.261860869898893,-17,-0.397806110241729
"ENSG00000067560","RHOA",20288.9380696387,713,20199.9331172859,687,0.00440620034907999,-0.281221199566326,-26,-0.608409345075586
"ENSG00000067606","PRKCZ",17597.8577093554,1028,17540.3547009254,998,0.00327832643127629,-0.302736854421832,-30,-0.702010782779522
"ENSG00000067715","SYT1",40416.3314843768,82,38301.5822874233,86,0.0552131027142418,0.687986225404423,4,0.0936014377039363
"ENSG00000067829","IDH3G",16143.990803579,1256,15994.662382403,1253,0.00933614087036455,-0.187176203011497,-3,-0.0702010782779522
"ENSG00000067836","ROGDI",19210.8360957786,827,19125.1120913009,805,0.00448227461718783,-0.27976998443478,-22,-0.51480790737165
"ENSG00000067840","PDZD4",18167.3819123245,947,17888.8759408442,951,0.0155686680594852,-0.0682826797533309,4,0.0936014377039363
"ENSG00000067842","ATP2B3",10241.3869332922,1987,10152.4747060552,1984,0.00875769010131061,-0.198210900153978,-3,-0.0702010782779522
"ENSG00000067992","PDK3",11076.0359880374,1916,10961.4594299061,1916,0.0104526736484285,-0.165876895076031,0,0
"ENSG00000068078","FGFR3",18954.0321897078,855,18914.6914165528,829,0.00207990562936801,-0.325598282404604,-26,-0.608409345075586
